id,scanner,material,implants,fov,height,width,frames
287,planmeca,zr,3,small,840,732,500
288,planmeca,zr,2,small,840,732,500
289,planmeca,zr,1,small,840,732,500
290,planmeca,,0,small,840,732,500
291,planmeca,ti,3,large,420,736,500
292,planmeca,ti,2,large,420,736,500
293,planmeca,ti,1,large,420,736,500
294,planmeca,tizr,3,large,420,736,500
295,planmeca,tizr,2,large,420,736,500
296,planmeca,tizr,1,large,420,736,500
297,planmeca,zr,3,large,420,736,500
298,planmeca,zr,2,large,420,736,500
299,planmeca,zr,1,large,420,736,500
300,planmeca,,0,large,420,736,500
301,x800,ti,3,small,687,740,604
302,x800,ti,2,small,687,740,604
303,x800,ti,1,small,687,740,604
304,x800,tizr,3,small,687,740,604
305,x800,tizr,2,small,687,740,604
306,x800,tizr,1,small,687,740,604
307,x800,zr,3,small,687,740,604
308,x800,zr,2,small,687,740,604
309,x800,zr,1,small,687,740,604
310,x800,,0,small,687,740,604
311,x800,ti,3,large,475,650,604
312,x800,ti,2,large,475,650,604
313,x800,ti,1,large,475,650,604
314,x800,tizr,3,large,475,650,604
315,x800,tizr,2,large,475,650,604
316,x800,tizr,1,large,475,650,604
317,x800,zr,3,large,475,650,604
318,x800,zr,2,large,475,650,604
319,x800,zr,1,large,475,650,604
320,x800,,0,large,475,650,604
321,axeos,ti,3,small,349,324,1530
322,axeos,ti,2,small,349,324,1529
323,axeos,ti,1,small,349,324,1529
324,axeos,tizr,3,small,349,318,1529
325,axeos,tizr,2,small,349,318,1529
326,axeos,tizr,1,small,349,323,1529
327,axeos,zr,3,small,349,317,1529
328,axeos,zr,2,small,349,317,1529
329,axeos,zr,1,small,349,323,1529
330,axeos,,0,small,349,323,1529
331,axeos,ti,3,large,501,629,832
332,axeos,ti,2,large,501,629,832
333,axeos,ti,1,large,501,629,832
334,axeos,tizr,3,large,501,630,832
335,axeos,tizr,2,large,501,629,832
336,axeos,tizr,1,large,501,629,832
337,axeos,zr,3,large,501,629,832
338,axeos,zr,2,large,501,630,831
339,axeos,zr,1,large,501,629,832
340,axeos,,0,large,501,629,832
341,accuitomo,ti,3,small,520,560,673
342,accuitomo,ti,2,small,520,560,673
343,accuitomo,ti,1,small,520,560,673
344,accuitomo,tizr,3,small,520,560,673
345,accuitomo,tizr,2,small,520,560,673
346,accuitomo,tizr,1,small,520,560,673
347,accuitomo,zr,3,small,520,560,673
348,accuitomo,zr,2,small,520,560,673
349,accuitomo,zr,1,small,520,560,673
350,accuitomo,,0,small,520,560,673
351,accuitomo,ti,3,large,339,700,580
352,accuitomo,ti,2,large,339,700,580
353,accuitomo,ti,1,large,339,700,579
354,accuitomo,tizr,3,large,339,700,579
355,accuitomo,tizr,2,large,339,700,579
356,accuitomo,tizr,1,large,339,700,580
357,accuitomo,zr,3,large,339,700,579
358,accuitomo,zr,2,large,339,700,579
359,accuitomo,zr,1,large,339,700,579
360,accuitomo,,0,large,339,700,579
361,planmeca,ti,3,small,840,732,500
362,planmeca,ti,2,small,840,732,500
363,planmeca,ti,1,small,840,732,500
364,planmeca,tizr,3,small,840,732,500
365,planmeca,tizr,2,small,840,732,500
366,planmeca,tizr,1,small,840,732,500
367,planmeca,zr,3,small,840,732,500
368,planmeca,zr,2,small,840,732,500
369,planmeca,zr,1,small,840,732,500
370,planmeca,,0,small,840,732,500
371,planmeca,ti,3,large,420,736,500
372,planmeca,ti,2,large,420,736,500
373,planmeca,ti,1,large,420,736,500
374,planmeca,tizr,3,large,420,736,500
375,planmeca,tizr,2,large,420,736,500
376,planmeca,tizr,1,large,420,736,500
377,planmeca,zr,3,large,420,736,500
378,planmeca,zr,2,large,420,736,500
379,planmeca,zr,1,large,420,736,500
380,planmeca,,0,large,420,736,500
381,x800,ti,3,small,687,740,604
382,x800,ti,2,small,687,740,604
383,x800,ti,1,small,687,740,604
384,x800,tizr,3,small,687,740,604
385,x800,tizr,2,small,687,740,604
